month,method,component,contribution,active_exposure
2020-03-31,historical_joint_cvar,factor:MKT_RF,0.005491444086432619,-0.1863935941183693
2020-03-31,historical_joint_cvar,factor:SMB,0.00041380370845223516,0.05680573157488145
2020-03-31,historical_joint_cvar,factor:HML,0.001024954273968154,-0.17010968891030145
2020-03-31,historical_joint_cvar,factor:RMW,-0.002708104922826927,0.09619964930390616
2020-03-31,historical_joint_cvar,factor:CMA,0.00047963048290671433,-0.086491187292687
2020-03-31,historical_joint_cvar,factor:MOM,0.00248112237598605,-0.10953079012348325
2020-03-31,historical_joint_cvar,specific,0.013194818314420266,
2020-03-31,historical_joint_cvar,transaction_cost,-1.3313647680925122e-05,
2020-03-31,historical_joint_cvar,active_net_return,0.02036435467165819,
2020-03-31,benchmark_relative_constrained,factor:MKT_RF,0.004419232383449168,-0.1499999989493629
2020-03-31,benchmark_relative_constrained,factor:SMB,0.000777051714188858,0.10667132796154945
2020-03-31,benchmark_relative_constrained,factor:HML,0.0004761083230454016,-0.07901878237679802
2020-03-31,benchmark_relative_constrained,factor:RMW,0.000823874251505067,-0.029266374946274876
2020-03-31,benchmark_relative_constrained,factor:CMA,0.0001943763569451667,-0.03505165433174608
2020-03-31,benchmark_relative_constrained,factor:MOM,0.001715054407419464,-0.07571221241143344
2020-03-31,benchmark_relative_constrained,specific,-0.000865715820079856,
2020-03-31,benchmark_relative_constrained,transaction_cost,-0.00011230660750640715,
2020-03-31,benchmark_relative_constrained,active_net_return,0.007427675008966862,
2020-03-31,exact_cardinality_cvar,factor:MKT_RF,0.007257807619869756,-0.24634846980041458
2020-03-31,exact_cardinality_cvar,factor:SMB,0.00030932019809712456,0.04246254875171722
2020-03-31,exact_cardinality_cvar,factor:HML,0.0013325997176890827,-0.22116901131639044
2020-03-31,exact_cardinality_cvar,factor:RMW,-0.0017855949534846093,0.06342945093306564
2020-03-31,exact_cardinality_cvar,factor:CMA,0.0002417835996901211,-0.04360054531639439
2020-03-31,exact_cardinality_cvar,factor:MOM,0.0027910605431854824,-0.12321321573511256
2020-03-31,exact_cardinality_cvar,specific,0.011855632107963077,
2020-03-31,exact_cardinality_cvar,transaction_cost,-1.2261967024152393e-05,
2020-03-31,exact_cardinality_cvar,active_net_return,0.021990346865985885,
2020-03-31,130_30_mathematical_appendix,factor:MKT_RF,0.0033650535671585586,-0.1142184858684383
2020-03-31,130_30_mathematical_appendix,factor:SMB,0.0021411154918774197,0.29392591080765607
2020-03-31,130_30_mathematical_appendix,factor:HML,-0.0002223606434992922,0.03690476819528274
2020-03-31,130_30_mathematical_appendix,factor:RMW,-0.003916697101987604,0.13913230778647834
2020-03-31,130_30_mathematical_appendix,factor:CMA,-0.0014154367038182027,0.25524399597991004
2020-03-31,130_30_mathematical_appendix,factor:MOM,0.000648871674481164,-0.028644869709993345
2020-03-31,130_30_mathematical_appendix,specific,0.010161983359984195,
2020-03-31,130_30_mathematical_appendix,transaction_cost,-0.0004240800951217525,
2020-03-31,130_30_mathematical_appendix,active_net_return,0.010338449549074485,
2020-04-30,equal_weight,factor:MKT_RF,-0.0,0.0
2020-04-30,equal_weight,factor:SMB,-0.0,0.0
2020-04-30,equal_weight,factor:HML,0.0,0.0
2020-04-30,equal_weight,factor:RMW,-0.0,0.0
2020-04-30,equal_weight,factor:CMA,0.0,0.0
2020-04-30,equal_weight,factor:MOM,-0.0,0.0
2020-04-30,equal_weight,specific,0.0,
2020-04-30,equal_weight,transaction_cost,-1.4246685960270172e-05,
2020-04-30,equal_weight,active_net_return,-1.4246685960270172e-05,
2020-04-30,global_minimum_variance,factor:MKT_RF,0.01120973548744269,-0.2558926025479744
2020-04-30,global_minimum_variance,factor:SMB,-5.1648307858022316e-05,0.0071485852367418595
2020-04-30,global_minimum_variance,factor:HML,-0.0008920134991315674,-0.16691049423179488
2020-04-30,global_minimum_variance,factor:RMW,0.0001426365399517,-0.013998510704879105
2020-04-30,global_minimum_variance,factor:CMA,-0.003654003168492769,-0.23905654912100532
2020-04-30,global_minimum_variance,factor:MOM,0.0037153175316337987,-0.08732698026959093
